Country,Spend,Leads,Old CPL,Generic_Distributed_Leads,Leads_(G+NG),Leads_(G+NG)%,Generic_Distributed_Spend,New Spend,New CPL,T-Apps,L2T-Apps,Sale,L2S,Lead Coin Value,Lead Coin,Cost Per Lead Coin,Invoice,ROI,ROI%,_CPS,DSQ,DSQ%,Wrkg,Wrkg%,Nrtg,Nrtg%,New,New%,App_Stg,App_Stg%,Doc_Stg,Doc_Stg%,Analysis,Analysis%,Offer,Offer%,Pymnt,Pymnt%,Proposal,Proposal%,Adm,Adm%,Lost,Lost%
Albania,"œ2,258",329,œ6.86,1,330,0.20%,œ394,"œ2,652",œ8.04,10,3.04%,2,0.61%,0.61,201,œ11,"œ27,950","œ25,692",1137.62%,"œ1,129",316,96.05%,2,0.61%,,,1,0.30%,2,0.61%,,,,,4,1.22%,,,,,1,0.30%,1,0.30%
Austria,"œ4,678",42,œ111.37,0,42,0.03%,œ50,"œ4,728",œ112.30,1,2.38%,,,,,œ0,,"-œ4,678",-100.00%,œ0,38,90.48%,,,,,3,7.14%,,,,,,,,,,,,,,,,
Belarus,œ690,79,œ8.73,0,79,0.05%,œ94,œ785,œ9.91,3,3.80%,,,,,œ0,,#NAME?,-100.00%,œ0,71,89.87%,2,2.53%,,,3,3.80%,,,,,,,,,,,,,,,3,3.80%
Belgium,"œ3,691",114,œ32.38,0,114,0.07%,œ136,"œ3,828",œ33.50,2,1.75%,2,1.75%,1.75,200,œ19,"œ30,100","œ26,409",715.45%,"œ1,846",111,97.37%,1,0.88%,,,,,,,,,,,,,,,,,,,,
Bulgaria,"œ3,945",154,œ25.61,0,154,0.09%,œ184,"œ4,129",œ26.75,2,1.30%,,,,,œ0,,"-œ3,945",-100.00%,œ0,147,95.45%,5,3.25%,,,,,1,0.65%,,,,,,,,,,,,,1,0.65%
Croatia,œ722,63,œ11.45,0,63,0.04%,œ75,œ797,œ12.62,,,,,,,œ0,,#NAME?,-100.00%,œ0,63,100.00%,,,,,,,,,,,,,,,,,,,,,,
Denmark,œ737,50,œ14.75,0,50,0.03%,œ60,œ797,œ15.90,,,,,,,œ0,,#NAME?,-100.00%,œ0,50,100.00%,,,,,,,,,,,,,,,,,,,,,,
Estonia,œ467,34,œ13.73,0,34,0.02%,œ41,œ508,œ14.90,1,2.94%,,,,,œ0,,#NAME?,-100.00%,œ0,32,94.12%,1,2.94%,,,,,,,,,,,,,,,,,,,,
Europe,"œ220,360",,œ0.00,,,,,"œ220,360",œ0.00,,,,,,,œ0,,"-œ220,360",-100.00%,œ0,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"œ1,366",66,œ20.70,0,66,0.04%,œ79,"œ1,445",œ21.84,,,,,,,œ0,,"-œ1,366",-100.00%,œ0,66,100.00%,,,,,,,,,,,,,,,,,,,,,,
France,"œ7,598",615,œ12.35,1,616,0.38%,œ736,"œ8,333",œ13.52,18,2.93%,3,0.49%,0.49,301,œ25,"œ53,449","œ45,851",603.50%,"œ2,533",596,96.91%,1,0.16%,,,,,,,,,,,,,,,,,,,15,2.44%
Germany,"œ207,522","1,737",œ119.47,4,"1,741",1.07%,"œ2,078","œ209,600",œ120.38,138,7.94%,50,2.88%,2.88,"5,003",œ41,"œ782,901","œ575,379",277.26%,"œ4,150","1,580",90.96%,7,0.40%,2,0.12%,10,0.58%,3,0.17%,,,,,15,0.86%,,,,,5,0.29%,65,3.74%
Greece,"œ7,644",382,œ20.01,1,383,0.24%,œ457,"œ8,101",œ21.16,8,2.09%,2,0.52%,0.52,199,œ38,"œ25,800","œ18,156",237.54%,"œ3,822",372,97.38%,2,0.52%,,,,,,,,,,,,,,,,,,,6,1.57%
Hungary,"œ3,161",134,œ23.59,0,134,0.08%,œ160,"œ3,321",œ24.73,4,2.99%,2,1.49%,1.49,200,œ16,"œ38,270","œ35,109",1110.72%,"œ1,580",129,96.27%,,,1,0.75%,,,,,,,,,,,,,,,,,2,1.49%
Ireland,"œ2,962",200,œ14.81,0,200,0.12%,œ239,"œ3,201",œ15.97,4,2.00%,2,1.00%,1,200,œ15,"œ24,940","œ21,978",742.03%,"œ1,481",194,97.00%,1,0.50%,1,0.50%,,,,,,,,,1,0.50%,,,,,1,0.50%,,
